0,53,51
0,18,50
0,27,45
1,11,123
1,8,97
1,19,93
2,8,84
2,23,82
2,18,78
3,9,207
3,47,119
3,30,100
4,19,90
4,41,73
4,32,64
5,30,111
5,5,87
5,10,85
6,2,220
6,13,107
6,23,98
7,16,106
7,7,104
7,23,71
8,12,147
8,39,129
8,37,120
9,3,232
9,13,64
9,7,63
10,0,130
10,2,93
10,11,92
11,19,89
11,22,67
11,41,58
12,3,117
12,34,81
12,19,81
13,5,144
13,1,136
13,17,129
14,11,120
14,21,71
14,25,67
15,1,137
15,13,110
15,8,87
16,1,142
16,26,133
16,15,101
17,26,159
17,10,117
17,20,74
18,11,141
18,32,84
18,27,80
19,3,127
19,27,109
19,1,97
20,1,206
20,9,131
20,24,77
21,15,108
21,40,100
21,26,99
22,20,92
22,4,81
22,35,77
23,3,103
23,7,88
23,12,85
24,3,107
24,1,99
24,9,96
25,16,92
25,27,91
25,9,76
26,4,134
26,11,110
26,13,101
27,5,116
27,6,98
27,3,76
28,3,103
28,31,87
28,26,82
29,6,94
29,3,87
29,34,72
30,26,93
30,34,79
30,0,70
31,38,101
31,31,91
31,16,77
32,8,114
32,17,79
32,10,67
33,3,157
33,16,111
33,14,108
34,2,141
34,15,101
34,24,78
35,1,109
35,20,108
35,2,93
36,28,101
36,4,87
36,36,83
37,22,88
37,37,80
37,15,58
38,5,76
38,22,74
38,4,74
39,1,157
39,6,122
39,5,71
40,38,133
40,11,131
40,2,95
41,15,136
41,5,113
41,23,94
42,7,119
42,31,82
42,6,63
43,11,93
43,8,73
43,14,52
44,16,138
44,5,109
44,23,101
45,24,143
45,18,84
45,45,83
46,1,116
46,6,91
46,40,79
47,1,64
47,23,64
47,18,57
48,22,115
48,15,100
48,30,93
49,29,132
49,27,122
49,1,105
50,1,143
50,20,100
50,15,77
51,9,161
51,6,117
51,22,69
52,11,114
52,22,107
52,44,96
53,22,147
53,12,87
53,21,69
54,29,112
54,47,93
54,17,58
55,9,117
55,54,77
55,23,77
56,8,102
56,41,96
56,5,95
57,8,107
57,6,93
57,12,86
58,2,145
58,20,101
58,28,66
59,1,89
59,10,82
59,18,82
60,1,140
60,26,97
60,13,77
61,24,106
61,31,96
61,48,66
62,18,117
62,1,107
62,43,90
63,18,112
63,20,82
63,14,75
64,6,88
64,10,83
64,2,73
65,12,110
65,24,96
65,20,82
66,6,122
66,4,98
66,14,77
67,30,143
67,4,94
67,15,80
68,22,176
68,4,88
68,7,66
69,16,122
69,4,115
69,15,115
70,11,116
70,25,116
70,4,103
71,2,72
71,29,72
71,1,60
72,11,140
72,32,93
72,9,90
73,11,112
73,6,105
73,2,105
74,14,189
74,7,169
74,26,106
75,5,90
75,25,83
75,37,81
76,13,127
76,11,114
76,16,74
77,8,115
77,3,78
77,91,76
78,1,125
78,22,99
78,8,88
79,6,176
79,22,95
79,11,78
80,8,121
80,9,107
80,1,90
81,10,154
81,52,121
81,26,99
82,18,93
82,13,84
82,11,83
83,28,77
83,35,71
83,4,67
84,16,110
84,37,106
84,35,88
85,17,91
85,24,81
85,23,69
86,25,106
86,31,101
86,3,88
87,10,124
87,5,83
87,45,74
88,6,99
88,11,93
88,10,90
89,7,152
89,34,115
89,1,105
90,40,144
90,8,139
90,14,87
91,14,78
91,4,74
91,26,71
92,13,146
92,0,127
92,12,93
93,13,120
93,21,119
93,10,108
94,6,179
94,2,132
94,16,91
95,4,144
95,21,115
95,14,88
96,7,89
96,38,85
96,21,72
97,3,119
97,27,91
97,1,89
98,35,111
98,25,104
98,39,98
99,1,100
99,41,98
99,8,83
100,2,124
100,9,83
100,29,75
101,32,75
101,6,72
101,36,68
102,10,108
102,27,79
102,3,62
103,1,94
103,14,78
103,22,77
104,32,84
104,31,66
104,6,64
105,8,114
105,21,102
105,11,101
106,11,93
106,5,90
106,1,87
107,34,110
107,18,84
107,0,71
108,1,149
108,4,109
108,21,102
109,6,104
109,26,93
109,15,77
110,4,117
110,13,107
110,26,101
111,7,131
111,13,102
111,21,92
112,32,129
112,2,125
112,11,98
113,2,110
113,10,97
113,28,86
114,18,101
114,15,76
114,26,61
115,43,75
115,37,71
115,21,66
116,24,92
116,52,90
116,39,89
117,30,86
117,10,84
117,11,82
118,23,89
118,28,85
118,9,83
119,23,100
119,13,89
119,15,78
120,17,148
120,13,118
120,8,112
121,3,117
121,17,114
121,4,113
122,9,85
122,21,66
122,17,63
123,5,144
123,2,132
123,1,81
124,26,101
124,24,101
124,21,81
125,1,92
125,9,84
125,11,77
126,18,89
126,13,78
126,6,70
127,12,139
127,5,130
127,20,105
128,18,104
128,15,90
128,14,83
129,8,165
129,4,126
129,47,106
130,24,139
130,9,96
130,13,92
131,21,113
131,3,110
131,32,94
132,15,86
132,6,69
132,21,66
133,15,125
133,4,115
133,7,97
134,25,118
134,4,114
134,6,94
135,24,121
135,12,94
135,17,88
136,18,120
136,25,58
136,67,46
137,4,65
137,3,61
137,9,55
138,8,172
138,7,114
138,3,105
139,6,123
139,21,120
139,5,99
140,3,123
140,31,97
140,16,94
141,22,148
141,48,109
141,9,93
142,7,117
142,1,114
142,20,87
143,2,133
